color,word
#C1BDDF,accept
#576EAD,access
#EF90AC,accord
#E85D8B,act
#8213D8,addit
#68CBDC,address
#F8C66D,admir
#C2272F,affect
#75A721,age
#836EE6,allow
#3BB00D,answer
#5A4BBF,appear
#70B749,arm
#ED2191,arrang
#47CCA0,arriv
#D432E7,ask
#54F2A1,attend
#54D7D5,author
#96F5A4,bear
#9567C0,beauti
#B484B1,begin
#9292E2,believ
#49D730,breath
#E6B8DB,calcul
#B663C0,care
#29E0F8,carri
#076877,caus
#9627CC,chang
#D7AF90,charg
#21E716,cheer
#AE287D,clear
#7C86E3,close
#42443D,cloth
#70F9DF,come
#AED83B,comfort
#57C5FB,command
#505859,complet
#8A7CE7,consider
#63E614,contain
#0268EA,content
#6B7655,continu
#8F3AA1,convers
#1613DE,copi
#081580,correct
#4FB0B1,cost
#608065,creat
#CB1C79,cri
#61A795,damag
#A67BCA,defect
#50FC21,delight
#6BC388,deriv
#64E023,desir
#BB1775,die
#5D2567,differ
#DB3EE8,direct
#83700F,disclaim
#9152A6,display
#8C3DF3,distribut
#BB8F11,donat
#D546BE,doubt
#8DE1CA,dress
#4DB457,drop
#34B54D,edit
#242EDB,effect
#D11706,end
#3E619A,enjoy
#1D03F4,enter
#916E74,examin
#B3A13B,exist
#57FB6F,expect
#971BBE,expens
#70DF60,express
#09C40C,eye
#56CF88,face
#3A571A,fail
#33D43A,fear
#9B0496,feel
#3A5C61,file
#BE88C2,fit
#78A3A4,follow
#442165,forc
#EF7DAD,form
#B74BDD,friend
#CF572E,hand
#A7370F,happen
#60B842,head
#E92AE5,help
#AB6157,hold
#D32DA0,hope
#377B50,imagin
#D51919,impress
#A1C02D,includ
#FC4C9A,indic
#0325CC,inform
#47EE50,kind
#56B97B,know
#786354,laugh
#192D5E,law
#28FEE1,learn
#3182D6,leav
#4F819B,lie
#9F092A,light
#0B514F,like
#80388A,limit
#13D810,listen
#155A54,live
#89BD8F,look
#1F47F2,love
#8B046B,make
#DCB4D6,mark
#1141FF,mean
#FEF3C5,meet
#7C0032,mind
#378C7B,natur
#589032,near
#1AE2C6,need
#07CB7A,note
#A956C9,object
#57C1DC,observ
#928E7B,offer
#B57833,offic
#91687A,open
#3B3025,order
#BA1E7E,origin
#3222C0,pain
#3D6084,pass
#5F52CA,pay
#2BCCA4,perfect
#114B38,perform
#6A07A0,period
#33A5C2,person
#25C3A6,place
#D4EF0D,play
#F30569,pleas
#84204A,point
#08AC1D,possess
#9DF0D4,possibl
#38B486,post
#4CF17B,power
#0FE483,practic
#983F51,prepar
#C4C180,present
#F8AEBD,print
#B4748F,produc
#FFBF13,profit
#6DBA8C,provid
#AE2B51,question
#14F4F2,rais
#DCDBAF,reach
#3F085E,read
#B14E8A,reason
#E1A764,receiv
#0CEE16,refer
#A3E817,relat
#C4BFFB,remain
#B504FC,remark
#A90020,remov
#47B474,replac
#37164E,report
#858119,requir
#7BBBD7,respect
#87F72A,rest
#8B15FB,return
#9B5010,right
#28E182,save
#91B82B,say
#98D422,send
#EA90F8,sever
#9D9555,share
#80F2F5,smile
#313781,sound
#335727,stand
#122F8B,start
#C44F97,state
#0ACA85,step
#D3A5CA,success
#830B34,suffer
#263AB3,suggest
#C9CBCC,talk
#90CD0F,tell
#5C42E4,thank
#FD772B,think
#E06EFF,thought
#007D6B,touch
#6A344B,travel
#696C4C,tri
#4B593B,turn
#E38F6A,use
#57AD38,utter
#A7EBAB,view
#9E32AF,visit
#E70CE4,wait
#8F5BB3,walk
#112A3F,want
#8B05B3,watch
#32DA1F,wish
#16A06D,wit
#FBEEC0,wonder
#595D72,work
#443933,write
